,sl,time,light
116,116,2018-06-17 17:12:14.746314,673.0
117,117,2018-06-17 17:12:15.745662,676.0
118,118,2018-06-17 17:12:16.745026,679.0
119,119,2018-06-17 17:12:17.748463,683.0
120,120,2018-06-17 17:12:18.747844,692.0
121,121,2018-06-17 17:12:19.747203,699.0
122,122,2018-06-17 17:12:20.746555,706.0
123,123,2018-06-17 17:12:21.745914,713.0
124,124,2018-06-17 17:12:22.749358,720.0
125,125,2018-06-17 17:12:23.748678,726.0
126,126,2018-06-17 17:12:24.748072,730.0
127,127,2018-06-17 17:12:25.747422,732.0
128,128,2018-06-17 17:12:26.750887,732.0
129,129,2018-06-17 17:12:27.750247,732.0
130,130,2018-06-17 17:12:28.749611,731.0
131,131,2018-06-17 17:12:29.748916,729.0
132,132,2018-06-17 17:12:30.752401,727.0
133,133,2018-06-17 17:12:31.751763,721.0
134,134,2018-06-17 17:12:32.751102,713.0
135,135,2018-06-17 17:12:33.750471,705.0
136,136,2018-06-17 17:12:34.749784,696.0
137,137,2018-06-17 17:12:35.753250,687.0
138,138,2018-06-17 17:12:36.752667,680.0
139,139,2018-06-17 17:12:37.752007,672.0
140,140,2018-06-17 17:12:38.751361,665.0
141,141,2018-06-17 17:12:39.754802,662.0
142,142,2018-06-17 17:12:40.754170,660.0
143,143,2018-06-17 17:12:41.753521,658.0
144,144,2018-06-17 17:12:42.752870,656.0
145,145,2018-06-17 17:12:43.756350,655.0
146,146,2018-06-17 17:12:44.755755,654.0
147,147,2018-06-17 17:12:45.755049,655.0
148,148,2018-06-17 17:12:46.754378,655.0
149,149,2018-06-17 17:12:47.757853,656.0
150,150,2018-06-17 17:12:48.757214,656.0
151,151,2018-06-17 17:12:49.756518,658.0
152,152,2018-06-17 17:12:50.755920,661.0
153,153,2018-06-17 17:12:51.755271,664.0
154,154,2018-06-17 17:12:52.758770,664.0
155,155,2018-06-17 17:12:53.758077,665.0
156,156,2018-06-17 17:12:54.757443,667.0
157,157,2018-06-17 17:12:55.756780,668.0
158,158,2018-06-17 17:12:56.760263,670.0
159,159,2018-06-17 17:12:57.759619,671.0
160,160,2018-06-17 17:12:58.758973,672.0
161,161,2018-06-17 17:12:59.758281,674.0
162,162,2018-06-17 17:13:00.761795,674.0
163,163,2018-06-17 17:13:01.761161,675.0
164,164,2018-06-17 17:13:02.760488,675.0
165,165,2018-06-17 17:13:03.759834,675.0
166,166,2018-06-17 17:13:04.763305,676.0
167,167,2018-06-17 17:13:05.762659,677.0
168,168,2018-06-17 17:13:06.761974,677.0
169,169,2018-06-17 17:13:07.761386,678.0
170,170,2018-06-17 17:13:08.760679,678.0
171,171,2018-06-17 17:13:09.764172,679.0
172,172,2018-06-17 17:13:10.763533,679.0
173,173,2018-06-17 17:13:11.762845,681.0
174,174,2018-06-17 17:13:12.762202,682.0
175,175,2018-06-17 17:13:13.765709,684.0
176,176,2018-06-17 17:13:14.765070,687.0
177,177,2018-06-17 17:13:15.764422,689.0
178,178,2018-06-17 17:13:16.763776,692.0
179,179,2018-06-17 17:13:17.767221,696.0
180,180,2018-06-17 17:13:18.766587,698.0
181,181,2018-06-17 17:13:19.765937,701.0
182,182,2018-06-17 17:13:20.765287,704.0
183,183,2018-06-17 17:13:21.768760,706.0
184,184,2018-06-17 17:13:22.768115,708.0
185,185,2018-06-17 17:13:23.767479,709.0
186,186,2018-06-17 17:13:24.766875,711.0
187,187,2018-06-17 17:13:25.766178,711.0
188,188,2018-06-17 17:13:26.769627,712.0
189,189,2018-06-17 17:13:27.768991,713.0
190,190,2018-06-17 17:13:28.768299,713.0
191,191,2018-06-17 17:13:29.767695,713.0
192,192,2018-06-17 17:13:30.771165,713.0
193,193,2018-06-17 17:13:31.770532,713.0
194,194,2018-06-17 17:13:32.769906,712.0
195,195,2018-06-17 17:13:33.769234,712.0
196,196,2018-06-17 17:13:34.772679,712.0
197,197,2018-06-17 17:13:35.772004,712.0
198,198,2018-06-17 17:13:36.771394,711.0
199,199,2018-06-17 17:13:37.770744,710.0
200,200,2018-06-17 17:13:38.770101,709.0
201,201,2018-06-17 17:13:39.773571,707.0
202,202,2018-06-17 17:13:40.772900,706.0
203,203,2018-06-17 17:13:41.772277,704.0
204,204,2018-06-17 17:13:42.771639,703.0
205,205,2018-06-17 17:13:43.775087,703.0
206,206,2018-06-17 17:13:44.774454,702.0
207,207,2018-06-17 17:13:45.773800,702.0
208,208,2018-06-17 17:13:46.773157,702.0
209,209,2018-06-17 17:13:47.776623,703.0
210,210,2018-06-17 17:13:48.775982,704.0
211,211,2018-06-17 17:13:49.775309,706.0
212,212,2018-06-17 17:13:50.774669,708.0
213,213,2018-06-17 17:13:51.778137,710.0
214,214,2018-06-17 17:13:52.777501,713.0
215,215,2018-06-17 17:13:53.776816,716.0
216,216,2018-06-17 17:13:54.776209,719.0
217,217,2018-06-17 17:13:55.775559,722.0
218,218,2018-06-17 17:13:56.779022,725.0
219,219,2018-06-17 17:13:57.778357,727.0
220,220,2018-06-17 17:13:58.777741,728.0
221,221,2018-06-17 17:13:59.777071,728.0
222,222,2018-06-17 17:14:00.780545,728.0
223,223,2018-06-17 17:14:01.779907,727.0
224,224,2018-06-17 17:14:02.779262,726.0
225,225,2018-06-17 17:14:03.778610,726.0
226,226,2018-06-17 17:14:04.782053,724.0
227,227,2018-06-17 17:14:05.781423,721.0
228,228,2018-06-17 17:14:06.780769,715.0
229,229,2018-06-17 17:14:07.780120,708.0
230,230,2018-06-17 17:14:08.783599,701.0
231,231,2018-06-17 17:14:09.782959,694.0
232,232,2018-06-17 17:14:10.782311,686.0
233,233,2018-06-17 17:14:11.781665,679.0
234,234,2018-06-17 17:14:12.781040,672.0
235,235,2018-06-17 17:14:13.784466,666.0
236,236,2018-06-17 17:14:14.783831,660.0
237,237,2018-06-17 17:14:15.783174,657.0
238,238,2018-06-17 17:14:16.782537,656.0
239,239,2018-06-17 17:14:17.786053,654.0
240,240,2018-06-17 17:14:18.785369,652.0
241,241,2018-06-17 17:14:19.784719,651.0
242,242,2018-06-17 17:14:20.784074,651.0
243,243,2018-06-17 17:14:21.787525,651.0
244,244,2018-06-17 17:14:22.786878,651.0
245,245,2018-06-17 17:14:23.786189,652.0
246,246,2018-06-17 17:14:24.785589,652.0
247,247,2018-06-17 17:14:25.789039,652.0
248,248,2018-06-17 17:14:26.788422,654.0
249,249,2018-06-17 17:14:27.787771,655.0
250,250,2018-06-17 17:14:28.787129,656.0
251,251,2018-06-17 17:14:29.786482,659.0
252,252,2018-06-17 17:14:30.789924,660.0
253,253,2018-06-17 17:14:31.789289,663.0
254,254,2018-06-17 17:14:32.788637,665.0
255,255,2018-06-17 17:14:33.787986,668.0
256,256,2018-06-17 17:14:34.791470,671.0
257,257,2018-06-17 17:14:35.790830,677.0
258,258,2018-06-17 17:14:36.790184,686.0
259,259,2018-06-17 17:14:37.789491,695.0
260,260,2018-06-17 17:14:38.792972,702.0
261,261,2018-06-17 17:14:39.792337,711.0
262,262,2018-06-17 17:14:40.791693,717.0
263,263,2018-06-17 17:14:41.791010,722.0
264,264,2018-06-17 17:14:42.794492,727.0
265,265,2018-06-17 17:14:43.793878,729.0
266,266,2018-06-17 17:14:44.793230,725.0
267,267,2018-06-17 17:14:45.792587,724.0
268,268,2018-06-17 17:14:46.791935,722.0
269,269,2018-06-17 17:14:47.795391,717.0
270,270,2018-06-17 17:14:48.794751,712.0
271,271,2018-06-17 17:14:49.794091,702.0
272,272,2018-06-17 17:14:50.793455,694.0
273,273,2018-06-17 17:14:51.796901,684.0
274,274,2018-06-17 17:14:52.796287,676.0
275,275,2018-06-17 17:14:53.795578,667.0
276,276,2018-06-17 17:14:54.794984,661.0
277,277,2018-06-17 17:14:55.798446,656.0
278,278,2018-06-17 17:14:56.797805,655.0
279,279,2018-06-17 17:14:57.797211,652.0
280,280,2018-06-17 17:14:58.796509,650.0
281,281,2018-06-17 17:14:59.799957,648.0
282,282,2018-06-17 17:15:00.799318,649.0
283,283,2018-06-17 17:15:01.798634,649.0
284,284,2018-06-17 17:15:02.798027,650.0
285,285,2018-06-17 17:15:03.797380,651.0
286,286,2018-06-17 17:15:04.800849,651.0
287,287,2018-06-17 17:15:05.800203,654.0
288,288,2018-06-17 17:15:06.799565,656.0
289,289,2018-06-17 17:15:07.798871,659.0
290,290,2018-06-17 17:15:08.802369,661.0
291,291,2018-06-17 17:15:09.801727,664.0
292,292,2018-06-17 17:15:10.801087,666.0
293,293,2018-06-17 17:15:11.800398,671.0
294,294,2018-06-17 17:15:12.803899,673.0
295,295,2018-06-17 17:15:13.803256,677.0
296,296,2018-06-17 17:15:14.802627,683.0
297,297,2018-06-17 17:15:15.801981,688.0
298,298,2018-06-17 17:15:16.805422,694.0
299,299,2018-06-17 17:15:17.804775,700.0
300,300,2018-06-17 17:15:18.804120,704.0
301,301,2018-06-17 17:15:19.803492,710.0
302,302,2018-06-17 17:15:20.802845,716.0
303,303,2018-06-17 17:15:21.806315,720.0
304,304,2018-06-17 17:15:22.805680,723.0
305,305,2018-06-17 17:15:23.805029,724.0
306,306,2018-06-17 17:15:24.804388,724.0
307,307,2018-06-17 17:15:25.807832,724.0
308,308,2018-06-17 17:15:26.807151,724.0
309,309,2018-06-17 17:15:27.806550,723.0
310,310,2018-06-17 17:15:28.805904,722.0
311,311,2018-06-17 17:15:29.809328,718.0
312,312,2018-06-17 17:15:30.808736,713.0
313,313,2018-06-17 17:15:31.808091,705.0
314,314,2018-06-17 17:15:32.807416,697.0
315,315,2018-06-17 17:15:33.810898,689.0
316,316,2018-06-17 17:15:34.810252,682.0
317,317,2018-06-17 17:15:35.809606,675.0
318,318,2018-06-17 17:15:36.808917,669.0
319,319,2018-06-17 17:15:37.808319,663.0
320,320,2018-06-17 17:15:38.811743,657.0
321,321,2018-06-17 17:15:39.811131,655.0
322,322,2018-06-17 17:15:40.810501,653.0
323,323,2018-06-17 17:15:41.809827,651.0
324,324,2018-06-17 17:15:42.813255,650.0
325,325,2018-06-17 17:15:43.812662,649.0
326,326,2018-06-17 17:15:44.812012,648.0
327,327,2018-06-17 17:15:45.811399,647.0
328,328,2018-06-17 17:15:46.814776,647.0
329,329,2018-06-17 17:15:47.814180,647.0
330,330,2018-06-17 17:15:48.813535,648.0
331,331,2018-06-17 17:15:49.812891,648.0
332,332,2018-06-17 17:15:50.816407,649.0
333,333,2018-06-17 17:15:51.815706,650.0
334,334,2018-06-17 17:15:52.815080,651.0
335,335,2018-06-17 17:15:53.814427,654.0
336,336,2018-06-17 17:15:54.813780,656.0
337,337,2018-06-17 17:15:55.817226,659.0
338,338,2018-06-17 17:15:56.816587,661.0
339,339,2018-06-17 17:15:57.815944,664.0
340,340,2018-06-17 17:15:58.815301,669.0
341,341,2018-06-17 17:15:59.818765,674.0
342,342,2018-06-17 17:16:00.818127,684.0
343,343,2018-06-17 17:16:01.817440,693.0
344,344,2018-06-17 17:16:02.816837,702.0
345,345,2018-06-17 17:16:03.820283,712.0
346,346,2018-06-17 17:16:04.819649,719.0
347,347,2018-06-17 17:16:05.818994,723.0
348,348,2018-06-17 17:16:06.818314,723.0
349,349,2018-06-17 17:16:07.821784,723.0
350,350,2018-06-17 17:16:08.821146,722.0
351,351,2018-06-17 17:16:09.820543,720.0
352,352,2018-06-17 17:16:10.819845,715.0
353,353,2018-06-17 17:16:11.819250,707.0
354,354,2018-06-17 17:16:12.822700,698.0
355,355,2018-06-17 17:16:13.822058,689.0
356,356,2018-06-17 17:16:14.821409,680.0
357,357,2018-06-17 17:16:15.820750,673.0
358,358,2018-06-17 17:16:16.824193,666.0
359,359,2018-06-17 17:16:17.823552,659.0
360,360,2018-06-17 17:16:18.822952,654.0
361,361,2018-06-17 17:16:19.822341,652.0
362,362,2018-06-17 17:16:20.825758,650.0
363,363,2018-06-17 17:16:21.825119,648.0
364,364,2018-06-17 17:16:22.824435,647.0
365,365,2018-06-17 17:16:23.823825,646.0
366,366,2018-06-17 17:16:24.827296,646.0
367,367,2018-06-17 17:16:25.826656,646.0
368,368,2018-06-17 17:16:26.826009,647.0
369,369,2018-06-17 17:16:27.825369,647.0
370,370,2018-06-17 17:16:28.824722,648.0
371,371,2018-06-17 17:16:29.828128,649.0
372,372,2018-06-17 17:16:30.827536,651.0
373,373,2018-06-17 17:16:31.826842,653.0
374,374,2018-06-17 17:16:32.826205,656.0
375,375,2018-06-17 17:16:33.829695,658.0
376,376,2018-06-17 17:16:34.829032,661.0
377,377,2018-06-17 17:16:35.828410,664.0
378,378,2018-06-17 17:16:36.827745,667.0
379,379,2018-06-17 17:16:37.831236,672.0
380,380,2018-06-17 17:16:38.830624,681.0
381,381,2018-06-17 17:16:39.829940,688.0
382,382,2018-06-17 17:16:40.829301,696.0
383,383,2018-06-17 17:16:41.832738,703.0
384,384,2018-06-17 17:16:42.832101,711.0
385,385,2018-06-17 17:16:43.831459,718.0
386,386,2018-06-17 17:16:44.830808,722.0
387,387,2018-06-17 17:16:45.830164,722.0
388,388,2018-06-17 17:16:46.833636,722.0
389,389,2018-06-17 17:16:47.833001,722.0
390,390,2018-06-17 17:16:48.832357,721.0
391,391,2018-06-17 17:16:49.831707,719.0
392,392,2018-06-17 17:16:50.835152,718.0
393,393,2018-06-17 17:16:51.834518,715.0
394,394,2018-06-17 17:16:52.833868,711.0
395,395,2018-06-17 17:16:53.833226,706.0
396,396,2018-06-17 17:16:54.836699,703.0
397,397,2018-06-17 17:16:55.836067,698.0
398,398,2018-06-17 17:16:56.835377,695.0
399,399,2018-06-17 17:16:57.834755,690.0
400,400,2018-06-17 17:16:58.838215,686.0
401,401,2018-06-17 17:16:59.837578,682.0
402,402,2018-06-17 17:17:00.836933,677.0
403,403,2018-06-17 17:17:01.836314,673.0
404,404,2018-06-17 17:17:02.835637,669.0
405,405,2018-06-17 17:17:03.839108,664.0
406,406,2018-06-17 17:17:04.838472,660.0
407,407,2018-06-17 17:17:05.837825,656.0
408,408,2018-06-17 17:17:06.837177,653.0
409,409,2018-06-17 17:17:07.840625,652.0
410,410,2018-06-17 17:17:08.839989,651.0
411,411,2018-06-17 17:17:09.839346,650.0
412,412,2018-06-17 17:17:10.838745,649.0
413,413,2018-06-17 17:17:11.842168,648.0
414,414,2018-06-17 17:17:12.841537,647.0
415,415,2018-06-17 17:17:13.840844,646.0
416,416,2018-06-17 17:17:14.840239,646.0
417,417,2018-06-17 17:17:15.843684,645.0
418,418,2018-06-17 17:17:16.843051,645.0
419,419,2018-06-17 17:17:17.842402,645.0
420,420,2018-06-17 17:17:18.841789,645.0
421,421,2018-06-17 17:17:19.841112,645.0
422,422,2018-06-17 17:17:20.844581,645.0
423,423,2018-06-17 17:17:21.843953,644.0
424,424,2018-06-17 17:17:22.843308,645.0
425,425,2018-06-17 17:17:23.842652,645.0
426,426,2018-06-17 17:17:24.846104,645.0
427,427,2018-06-17 17:17:25.845463,646.0
428,428,2018-06-17 17:17:26.844828,645.0
429,429,2018-06-17 17:17:27.844172,645.0
430,430,2018-06-17 17:17:28.847598,645.0
431,431,2018-06-17 17:17:29.846991,645.0
432,432,2018-06-17 17:17:30.846328,645.0
433,433,2018-06-17 17:17:31.845690,646.0
434,434,2018-06-17 17:17:32.849165,646.0
435,435,2018-06-17 17:17:33.848525,646.0
436,436,2018-06-17 17:17:34.847840,646.0
437,437,2018-06-17 17:17:35.847233,648.0
438,438,2018-06-17 17:17:36.846585,648.0
439,439,2018-06-17 17:17:37.850057,648.0
440,440,2018-06-17 17:17:38.849421,650.0
441,441,2018-06-17 17:17:39.848747,648.0
