,sl,time,light
133,133,2018-06-18 16:52:01.931227,721.0
134,134,2018-06-18 16:52:02.930539,721.0
135,135,2018-06-18 16:52:03.929855,721.0
136,136,2018-06-18 16:52:04.929218,721.0
137,137,2018-06-18 16:52:05.928474,721.0
138,138,2018-06-18 16:52:06.931905,721.0
139,139,2018-06-18 16:52:07.931218,721.0
140,140,2018-06-18 16:52:08.930509,721.0
141,141,2018-06-18 16:52:09.929824,721.0
142,142,2018-06-18 16:52:10.933254,721.0
143,143,2018-06-18 16:52:11.932567,721.0
144,144,2018-06-18 16:52:12.931916,721.0
145,145,2018-06-18 16:52:13.931154,721.0
146,146,2018-06-18 16:52:14.934610,721.0
147,147,2018-06-18 16:52:15.933920,721.0
148,148,2018-06-18 16:52:16.933269,721.0
149,149,2018-06-18 16:52:17.932580,721.0
150,150,2018-06-18 16:52:18.931874,721.0
151,151,2018-06-18 16:52:19.935309,721.0
152,152,2018-06-18 16:52:20.934623,720.0
153,153,2018-06-18 16:52:21.933945,720.0
154,154,2018-06-18 16:52:22.933256,720.0
155,155,2018-06-18 16:52:23.936665,720.0
156,156,2018-06-18 16:52:24.935986,720.0
157,157,2018-06-18 16:52:25.935302,720.0
158,158,2018-06-18 16:52:26.934573,720.0
159,159,2018-06-18 16:52:27.938057,720.0
160,160,2018-06-18 16:52:28.937367,720.0
161,161,2018-06-18 16:52:29.936697,720.0
162,162,2018-06-18 16:52:30.935964,720.0
163,163,2018-06-18 16:52:31.935326,720.0
164,164,2018-06-18 16:52:32.938740,720.0
165,165,2018-06-18 16:52:33.938057,720.0
166,166,2018-06-18 16:52:34.937333,720.0
167,167,2018-06-18 16:52:35.936416,720.0
168,168,2018-06-18 16:52:36.939569,720.0
169,169,2018-06-18 16:52:37.938603,720.0
170,170,2018-06-18 16:52:38.937645,720.0
171,171,2018-06-18 16:52:39.936649,719.0
172,172,2018-06-18 16:52:40.939830,719.0
173,173,2018-06-18 16:52:41.938879,720.0
174,174,2018-06-18 16:52:42.937948,720.0
175,175,2018-06-18 16:52:43.937006,720.0
176,176,2018-06-18 16:52:44.936069,720.0
177,177,2018-06-18 16:52:45.939247,719.0
178,178,2018-06-18 16:52:46.938321,719.0
179,179,2018-06-18 16:52:47.937352,719.0
180,180,2018-06-18 16:52:48.936466,719.0
181,181,2018-06-18 16:52:49.939640,719.0
182,182,2018-06-18 16:52:50.938728,719.0
183,183,2018-06-18 16:52:51.937815,719.0
184,184,2018-06-18 16:52:52.936932,719.0
185,185,2018-06-18 16:52:53.940119,719.0
186,186,2018-06-18 16:52:54.939211,719.0
187,187,2018-06-18 16:52:55.938291,719.0
188,188,2018-06-18 16:52:56.937414,719.0
189,189,2018-06-18 16:52:57.936496,719.0
190,190,2018-06-18 16:52:58.939720,719.0
191,191,2018-06-18 16:52:59.938829,718.0
192,192,2018-06-18 16:53:00.937945,718.0
193,193,2018-06-18 16:53:01.937020,718.0
194,194,2018-06-18 16:53:02.940274,718.0
195,195,2018-06-18 16:53:03.939379,718.0
196,196,2018-06-18 16:53:04.938477,718.0
197,197,2018-06-18 16:53:05.937602,719.0
198,198,2018-06-18 16:53:06.940852,718.0
199,199,2018-06-18 16:53:07.940034,718.0
200,200,2018-06-18 16:53:08.939166,718.0
201,201,2018-06-18 16:53:09.938306,718.0
202,202,2018-06-18 16:53:10.937439,718.0
203,203,2018-06-18 16:53:11.940698,718.0
204,204,2018-06-18 16:53:12.939848,718.0
205,205,2018-06-18 16:53:13.938970,718.0
206,206,2018-06-18 16:53:14.938115,718.0
207,207,2018-06-18 16:53:15.941393,718.0
208,208,2018-06-18 16:53:16.940536,718.0
209,209,2018-06-18 16:53:17.939696,718.0
210,210,2018-06-18 16:53:18.938851,718.0
211,211,2018-06-18 16:53:19.942103,718.0
212,212,2018-06-18 16:53:20.941266,718.0
213,213,2018-06-18 16:53:21.940436,717.0
214,214,2018-06-18 16:53:22.939597,717.0
215,215,2018-06-18 16:53:23.938716,717.0
216,216,2018-06-18 16:53:24.942049,717.0
217,217,2018-06-18 16:53:25.941229,717.0
218,218,2018-06-18 16:53:26.940398,717.0
219,219,2018-06-18 16:53:27.939572,717.0
220,220,2018-06-18 16:53:28.942839,717.0
221,221,2018-06-18 16:53:29.942104,717.0
222,222,2018-06-18 16:53:30.941200,717.0
223,223,2018-06-18 16:53:31.940384,717.0
224,224,2018-06-18 16:53:32.943662,717.0
225,225,2018-06-18 16:53:33.942874,717.0
226,226,2018-06-18 16:53:34.942059,717.0
227,227,2018-06-18 16:53:35.941243,717.0
228,228,2018-06-18 16:53:36.944527,717.0
229,229,2018-06-18 16:53:37.943771,717.0
230,230,2018-06-18 16:53:38.942913,717.0
231,231,2018-06-18 16:53:39.942064,717.0
232,232,2018-06-18 16:53:40.941301,717.0
233,233,2018-06-18 16:53:41.944623,717.0
234,234,2018-06-18 16:53:42.943827,717.0
235,235,2018-06-18 16:53:43.943022,716.0
236,236,2018-06-18 16:53:44.942221,716.0
237,237,2018-06-18 16:53:45.945543,716.0
238,238,2018-06-18 16:53:46.944735,716.0
239,239,2018-06-18 16:53:47.943938,716.0
240,240,2018-06-18 16:53:48.943139,716.0
241,241,2018-06-18 16:53:49.946436,716.0
242,242,2018-06-18 16:53:50.945645,716.0
243,243,2018-06-18 16:53:51.944892,716.0
244,244,2018-06-18 16:53:52.944097,716.0
245,245,2018-06-18 16:53:53.943283,716.0
246,246,2018-06-18 16:53:54.946619,716.0
247,247,2018-06-18 16:53:55.945840,716.0
248,248,2018-06-18 16:53:56.945062,716.0
249,249,2018-06-18 16:53:57.944269,716.0
250,250,2018-06-18 16:53:58.947540,716.0
251,251,2018-06-18 16:53:59.946808,716.0
252,252,2018-06-18 16:54:00.946033,716.0
253,253,2018-06-18 16:54:01.945257,716.0
254,254,2018-06-18 16:54:02.948594,715.0
255,255,2018-06-18 16:54:03.947817,716.0
256,256,2018-06-18 16:54:04.947044,716.0
257,257,2018-06-18 16:54:05.946272,716.0
258,258,2018-06-18 16:54:06.945498,715.0
259,259,2018-06-18 16:54:07.948818,716.0
260,260,2018-06-18 16:54:08.948052,715.0
