,sl,time,light
116,116,2018-06-18 05:45:24.445307,730.0
117,117,2018-06-18 05:45:25.448885,714.0
118,118,2018-06-18 05:45:26.448352,705.0
119,119,2018-06-18 05:45:27.447829,706.0
120,120,2018-06-18 05:45:28.447288,722.0
121,121,2018-06-18 05:45:29.446717,751.0
122,122,2018-06-18 05:45:30.450318,776.0
123,123,2018-06-18 05:45:31.449835,778.0
124,124,2018-06-18 05:45:32.449259,753.0
125,125,2018-06-18 05:45:33.448714,724.0
126,126,2018-06-18 05:45:34.452272,709.0
127,127,2018-06-18 05:45:35.451743,704.0
128,128,2018-06-18 05:45:36.451206,709.0
129,129,2018-06-18 05:45:37.450664,734.0
130,130,2018-06-18 05:45:38.450124,763.0
131,131,2018-06-18 05:45:39.453729,778.0
132,132,2018-06-18 05:45:40.453174,771.0
133,133,2018-06-18 05:45:41.452629,739.0
134,134,2018-06-18 05:45:42.452088,719.0
135,135,2018-06-18 05:45:43.455634,707.0
136,136,2018-06-18 05:45:44.455098,704.0
137,137,2018-06-18 05:45:45.454352,713.0
138,138,2018-06-18 05:45:46.453364,739.0
139,139,2018-06-18 05:45:47.452339,766.0
140,140,2018-06-18 05:45:48.455504,779.0
141,141,2018-06-18 05:45:49.454568,772.0
142,142,2018-06-18 05:45:50.453580,745.0
143,143,2018-06-18 05:45:51.452623,724.0
144,144,2018-06-18 05:45:52.455794,711.0
145,145,2018-06-18 05:45:53.454855,705.0
146,146,2018-06-18 05:45:54.453916,705.0
147,147,2018-06-18 05:45:55.452982,714.0
148,148,2018-06-18 05:45:56.452023,735.0
149,149,2018-06-18 05:45:57.455218,757.0
150,150,2018-06-18 05:45:58.454305,775.0
151,151,2018-06-18 05:45:59.453394,779.0
152,152,2018-06-18 05:46:00.452484,766.0
153,153,2018-06-18 05:46:01.455671,740.0
154,154,2018-06-18 05:46:02.454769,723.0
155,155,2018-06-18 05:46:03.453881,711.0
156,156,2018-06-18 05:46:04.452990,705.0
157,157,2018-06-18 05:46:05.452102,705.0
158,158,2018-06-18 05:46:06.455340,712.0
159,159,2018-06-18 05:46:07.454461,732.0
160,160,2018-06-18 05:46:08.453593,754.0
161,161,2018-06-18 05:46:09.452702,774.0
162,162,2018-06-18 05:46:10.455956,779.0
163,163,2018-06-18 05:46:11.455104,772.0
164,164,2018-06-18 05:46:12.454243,751.0
165,165,2018-06-18 05:46:13.453388,729.0
166,166,2018-06-18 05:46:14.452566,717.0
167,167,2018-06-18 05:46:15.455787,708.0
168,168,2018-06-18 05:46:16.454945,704.0
169,169,2018-06-18 05:46:17.454116,707.0
170,170,2018-06-18 05:46:18.453286,718.0
171,171,2018-06-18 05:46:19.456617,738.0
172,172,2018-06-18 05:46:20.455705,759.0
173,173,2018-06-18 05:46:21.454923,776.0
174,174,2018-06-18 05:46:22.454113,779.0
175,175,2018-06-18 05:46:23.453290,770.0
176,176,2018-06-18 05:46:24.456567,747.0
177,177,2018-06-18 05:46:25.455763,727.0
178,178,2018-06-18 05:46:26.454956,714.0
179,179,2018-06-18 05:46:27.454150,707.0
180,180,2018-06-18 05:46:28.457444,705.0
181,181,2018-06-18 05:46:29.456661,709.0
182,182,2018-06-18 05:46:30.455859,729.0
183,183,2018-06-18 05:46:31.455065,751.0
184,184,2018-06-18 05:46:32.454273,773.0
185,185,2018-06-18 05:46:33.457610,779.0
186,186,2018-06-18 05:46:34.456835,773.0
187,187,2018-06-18 05:46:35.456054,751.0
188,188,2018-06-18 05:46:36.455254,729.0
189,189,2018-06-18 05:46:37.458596,717.0
190,190,2018-06-18 05:46:38.457832,708.0
191,191,2018-06-18 05:46:39.457063,704.0
192,192,2018-06-18 05:46:40.456296,706.0
193,193,2018-06-18 05:46:41.455532,717.0
194,194,2018-06-18 05:46:42.458862,736.0
195,195,2018-06-18 05:46:43.458103,755.0
196,196,2018-06-18 05:46:44.457355,773.0
197,197,2018-06-18 05:46:45.456600,779.0
198,198,2018-06-18 05:46:46.459967,776.0
199,199,2018-06-18 05:46:47.459215,759.0
200,200,2018-06-18 05:46:48.458471,735.0
201,201,2018-06-18 05:46:49.457701,723.0
202,202,2018-06-18 05:46:50.456983,713.0
203,203,2018-06-18 05:46:51.460335,707.0
204,204,2018-06-18 05:46:52.459609,705.0
205,205,2018-06-18 05:46:53.458872,708.0
206,206,2018-06-18 05:46:54.458137,719.0
207,207,2018-06-18 05:46:55.461489,737.0
208,208,2018-06-18 05:46:56.460769,755.0
209,209,2018-06-18 05:46:57.460041,772.0
210,210,2018-06-18 05:46:58.459313,778.0
211,211,2018-06-18 05:46:59.458587,779.0
212,212,2018-06-18 05:47:00.461987,768.0
213,213,2018-06-18 05:47:01.461274,751.0
214,214,2018-06-18 05:47:02.460575,731.0
215,215,2018-06-18 05:47:03.459808,721.0
216,216,2018-06-18 05:47:04.463214,713.0
217,217,2018-06-18 05:47:05.462501,707.0
218,218,2018-06-18 05:47:06.461793,704.0
219,219,2018-06-18 05:47:07.461088,706.0
220,220,2018-06-18 05:47:08.460373,712.0
221,221,2018-06-18 05:47:09.463762,728.0
222,222,2018-06-18 05:47:10.463077,745.0
223,223,2018-06-18 05:47:11.462359,762.0
224,224,2018-06-18 05:47:12.461614,775.0
225,225,2018-06-18 05:47:13.465075,779.0
226,226,2018-06-18 05:47:14.464376,776.0
227,227,2018-06-18 05:47:15.463655,761.0
228,228,2018-06-18 05:47:16.462962,740.0
229,229,2018-06-18 05:47:17.462264,726.0
230,230,2018-06-18 05:47:18.465690,715.0
